Shop name,start_time,end_time
,4.236666666666667,6.531666666666667
NO PARKING,4.283,4.299
TN10BL6939,4.342666666666667,4.3613333333333335
otelSuri,4.459333333333333,4.459333333333333
HotelSuriy,4.460333333333334,4.469333333333334
HotelSuri,4.461333333333333,4.461333333333333
Hotel Suriye,4.461666666666667,4.492
Hotel Suriy,4.463333333333334,4.496333333333335
Hotel Suri,4.464,4.4976666666666665
BLACK+ DECKER Easy By Design,4.464,4.464
Hotel Suriy 0390,4.464333333333333,4.464333333333333
HotelSuriye,4.464666666666667,4.474333333333333
HotelSuriye 2023933,4.466666666666667,4.466666666666667
HotelSuriy Interaat,4.467,4.467
Hotel Suriy 202399,4.467666666666667,4.467666666666667
HetelSuriye 1031,4.468,4.468
HetelSuriy,4.468333333333334,4.468333333333334
HotelSuriy 4212393,4.468666666666667,4.468666666666667
Yotel Suriya,4.4703333333333335,4.4703333333333335
Hotel Suriye 42123933/,4.470666666666667,4.470666666666667
Hotel Suriye 0213.30,4.471,4.471
Hotel Suriya,4.471666666666667,4.659000000000001
Hotel Suriye 212393,4.4719999999999995,4.4719999999999995
Hotel Suriye 42103993,4.475333333333333,4.475333333333333
Hotel Suriye 42123893/0445,4.475666666666667,4.475666666666667
Hotel Suriye 4223893/04,4.476333333333333,4.476333333333333
SHAK Inteena,4.4766666666666675,4.4766666666666675
SHAKT Intetna,4.477,4.477
Hotel Suriye 42123983/04,4.477333333333333,4.477333333333333
SHAKT Intetnat,4.477333333333333,4.478666666666667
Hotel Suriye 42003,4.477666666666667,4.477666666666667
Hotel Suriye Int 4710,4.4783333333333335,4.4783333333333335
SHAKT Internati,4.479,4.479
3 SHAKT Intecnati,4.479333333333333,4.479333333333333
Hotel Suriye 42123933,4.4796666666666685,4.4796666666666685
SH SHAKTI Internati,4.4796666666666685,4.4796666666666685
SH SHAKTI Intecnati,4.48,4.48
SH SHAKTI Intetnat!,4.480333333333333,4.480333333333333
SHI SHAKTH Intecnati,4.480666666666667,4.480666666666667
SHI SHAKTH Intecnatie,4.481,4.481
Hotel Suriye TOst 42123993/,4.481,4.481
SHA SHAKTH Intetnatie,4.481333333333334,4.481333333333334
SHE SHAKTH Intetnatie,4.4816666666666665,4.4816666666666665
SHE SHAKTH Inthtnatio,4.482,4.482
HotelSuriye Interoat,4.482,4.482
SHA SHAKTH Intecnatie,4.482333333333333,4.482333333333333
Hotel Suriye CTON,4.482333333333333,4.482333333333333
SHR SHAKTH Internation,4.482666666666666,4.4830000000000005
Hotel Suriye ETON 42123993,4.482666666666666,4.482666666666666
SHR SHAKTH Intecnation,4.483333333333333,4.483333333333333
SHRI SHAKTHI Intetnation,4.483666666666666,4.483666666666666
SHRE SHAKTHI Intecnation,4.484,4.484
Hotel Suriye 4202,4.484333333333334,4.484333333333334
SHRE SHAKTHI Intecnatian,4.484333333333334,4.484333333333334
